observation_date,NYGDPPCAPKDFIN
1960-01-01,11153.7786172296
1961-01-01,11917.5854933381
1962-01-01,12189.7889339765
1963-01-01,12501.5394172400
1964-01-01,13083.4676780612
1965-01-01,13731.4119088192
1966-01-01,14004.6459933912
1967-01-01,14231.1051616385
1968-01-01,14493.6699352119
1969-01-01,15893.3097483357
1970-01-01,17145.4187747689
1971-01-01,17527.3886120219
1972-01-01,18771.1588964050
1973-01-01,19968.3795286842
1974-01-01,20507.0182141903
1975-01-01,20784.6883614587
1976-01-01,20793.4910663419
1977-01-01,20785.0684867374
1978-01-01,21330.5987748157
1979-01-01,22791.4236217199
1980-01-01,23945.0603707378
1981-01-01,24150.5782368449
1982-01-01,24756.9389223507
1983-01-01,25373.6804022849
1984-01-01,26052.7867322716
1985-01-01,26862.7992099895
1986-01-01,27513.3886451400
1987-01-01,28412.4497948666
1988-01-01,29811.9509398364
1989-01-01,31214.6750164216
1990-01-01,31291.5222587198
1991-01-01,29290.9773950558
1992-01-01,28162.3512348846
1993-01-01,27807.8614663327
1994-01-01,28785.9195720485
1995-01-01,29890.5243289925
1996-01-01,30883.8347237846
1997-01-01,32762.1179107575
1998-01-01,34457.4555939742
1999-01-01,35886.4949080548
2000-01-01,37872.6020343504
2001-01-01,38784.1308115726
2002-01-01,39343.0698997627
2003-01-01,40038.9839702277
2004-01-01,41521.9628744760
2005-01-01,42529.3506920884
2006-01-01,44069.3958834717
2007-01-01,46213.6898975737
2008-01-01,46359.8732844055
2009-01-01,42412.5133513534
2010-01-01,43556.5385834368
2011-01-01,44391.4535667984
2012-01-01,43507.9345371578
2013-01-01,42883.6384986417
2014-01-01,42502.4880199858
2015-01-01,42560.3456767103
2016-01-01,43529.6761616969
2017-01-01,44862.2204042050
2018-01-01,45337.2409550575
2019-01-01,45898.5708448954
2020-01-01,44690.9801103074
2021-01-01,45792.0454180872
2022-01-01,46016.1492103929
2023-01-01,45353.4530466713
2024-01-01,44855.3304642764
