Year,Area,Main type of activity,Level of education,Population 31 Dec
1987,MK01 Uusimaa,Total,Total,1199530
1987,MK01 Uusimaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,65757
1987,MK01 Uusimaa,Employed,Total,653347
1987,MK01 Uusimaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,55702
1987,MK01 Uusimaa,Unemployed,Total,13998
1987,MK01 Uusimaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,553
1987,MK02 Southwest Finland,Total,Total,419059
1987,MK02 Southwest Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,11899
1987,MK02 Southwest Finland,Employed,Total,201817
1987,MK02 Southwest Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,9962
1987,MK02 Southwest Finland,Unemployed,Total,9695
1987,MK02 Southwest Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,164
1987,MK05 Kanta-Häme,Total,Total,158739
1987,MK05 Kanta-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,3384
1987,MK05 Kanta-Häme,Employed,Total,74563
1987,MK05 Kanta-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,2802
1987,MK05 Kanta-Häme,Unemployed,Total,3651
1987,MK05 Kanta-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,29
1987,MK07 Päijät-Häme,Total,Total,202777
1987,MK07 Päijät-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,3480
1987,MK07 Päijät-Häme,Employed,Total,94898
1987,MK07 Päijät-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,2897
1987,MK07 Päijät-Häme,Unemployed,Total,6339
1987,MK07 Päijät-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,41
1987,MK08 Kymenlaakso,Total,Total,187544
1987,MK08 Kymenlaakso,Total,7-8 Master's or equivalent level or doctoral or equivalent level,3331
1987,MK08 Kymenlaakso,Employed,Total,84206
